ep_party_group,vote,count
PPE,abstain,2
PPE,against,25
PPE,for,151
S&D,abstain,18
S&D,against,25
S&D,for,90
PfE,against,84
ECR,abstain,4
ECR,against,39
ECR,for,33
Renew,abstain,6
Renew,for,67
Verts/ALE,abstain,6
Verts/ALE,against,19
Verts/ALE,for,27
The Left,against,43
NI,against,24
NI,for,2
ESN,against,23
