position_id,party_id,statement_id,position_label,position_numeric,source_type,text_snippet,source_link
IEP0016,SF,16,Tend to agree,1,Older national or European election manifestos,"""Create a Sentencing Council to issue sentencing guidelines to the judiciary""",https://www.sinnfein.ie/files/2020/Giving_Workers_and_Families_a_Break_-_A_Manifesto_for_Change.pdf
IEP0017,SF,17,Completely disagree,-2,Older national or European election manifestos,"""We will seek to return powers to EU member states and increase the influence of member state parliaments in the EU legislative process. We support reforms of the EU which are aimed at reducing the power of the European Commission, making it more transparent and accountable to the European and member state parliaments, and increasing the influence of smaller member states.""",https://www.sinnfein.ie/files/2020/Giving_Workers_and_Families_a_Break_-_A_Manifesto_for_Change.pdf
IEP0018,SF,18,Completely disagree,-2,Other programmatic and official party documentation,"""We will seek to return powers to EU member states and increase the influence of member state parliaments in the EU legislative process. We support reforms of the EU which are aimed at reducing the power of the European Commission, making it more transparent and accountable to the European and member state parliaments, and increasing the influence of smaller member states.""",https://www.sinnfein.ie/files/2020/Giving_Workers_and_Families_a_Break_-_A_Manifesto_for_Change.pdf
IEP0019,SF,19,Tend to agree,1,"Recent interviews, press releases and social media communication (from party, party leader and/or leading candidates)","""There is a need for the State to get ahead of developments in the Artificial Intelligence space, to shape its direction of travel at a national and European level, to exploit the economic opportunities of AI and harness its positive power, and legislate, where necessary, to protect workers and society""",https://vote.sinnfein.ie/advisory-council-must-focus-on-harnessing-power-of-ai-while-protecting-workers-and-society-louise-oreilly-td/
IEP0020,SF,20,No opinion,,,,
IEP0021,SF,21,Tend to agree,1,Older national or European election manifestos,"""Many aspects of our society, from community groups to business and education to agriculture, have been able to grow and expand as a result of the support they have received from the European Union. We acknowledge the role that the European Union played in the peace process and the Good Friday Agreement and we want to see the EU to continue in that role post-Brexit. We will support what is right and good for Ireland while challenging shortcomings wherever we find them. In doing so, we want to build a better Europe.""",https://www.sinnfein.ie/files/2020/Giving_Workers_and_Families_a_Break_-_A_Manifesto_for_Change.pdf
IEP0022,SF,22,Completely agree,2,"Recent interviews, press releases and social media communication (from party, party leader and/or leading candidates)","""The EU Mercosur free trade agreement is a betrayal of our farmers and the environment.” “This agreement would allow for an additional 99,000 tonnes of beef from the South America trade association to enter the EU tariff-free. Any such deal would saturate our market at the expense of Irish farmers.""",https://vote.sinnfein.ie/eu-mercosur-trade-deal-an-existential-threat-to-irish-farmers-and-environment-chris-macmanus-mep/
IEP0023,SF,23,Completely disagree,-2,Older national or European election manifestos,"""We will oppose the further militarisation of the EU and attempts to create a standing EU army. We would terminate Ireland’s involvement in EU Battle Groups and the use of Irish airports by foreign armies engaged in war. This Fine Gael Government, with Fianna Fáil support, has approved Ireland’s involvement in the European Union’s Permanent Structured Cooperation (PESCO), which is the beginning of an EU Defence Union and the creation of an EU Army. Sinn Féin opposed the creation of PESCO and, in Government, we will ensure Ireland plays absolutely no part in PESCO. We propose to hold a referendum on enshrining neutrality into Bunreacht na hÉireann. The referendum would decide whether to amend the constitution to ensure Ireland will not and cannot aid foreign powers in any way in preparation for a war. The proposed amendment would also affirm that Ireland is a neutral state and that the State would have a policy of non-membership of military alliances.""",https://www.sinnfein.ie/files/2020/Giving_Workers_and_Families_a_Break_-_A_Manifesto_for_Change.pdf
IEP0024,SF,24,Tend to disagree,-1,"Recent interviews, press releases and social media communication (from party, party leader and/or leading candidates)","""This is an important issue of sovereignty. It must be for an Irish government to decide on key aspects of our immigration system. These are not matters for the EU to dictate to us.""",https://vote.sinnfein.ie/ireland-must-opt-out-of-eu-asylum-and-migration-pact-measures-that-are-not-in-irelands-interests-chris-macmanus-mep/
IEP0025,SF,25,Completely disagree,-2,Older national or European election manifestos,"""We will oppose the further militarisation of the EU and attempts to create a standing EU army. We would terminate Ireland’s involvement in EU Battle Groups and the use of Irish airports by foreign armies engaged in war. This Fine Gael Government, with Fianna Fáil support, has approved Ireland’s involvement in the European Union’s Permanent Structured Cooperation (PESCO), which is the beginning of an EU Defence Union and the creation of an EU Army. Sinn Féin opposed the creation of PESCO and, in Government, we will ensure Ireland plays absolutely no part in PESCO. We propose to hold a referendum on enshrining neutrality into Bunreacht na hÉireann. The referendum would decide whether to amend the constitution to ensure Ireland will not and cannot aid foreign powers in any way in preparation for a war. The proposed amendment would also affirm that Ireland is a neutral state and that the State would have a policy of non-membership of military alliances.""",https://www.sinnfein.ie/files/2020/Giving_Workers_and_Families_a_Break_-_A_Manifesto_for_Change.pdf
IEP0026,SF,26,Completely disagree,-2,Older national or European election manifestos,"""We would ensure the Irish Naval Service restarts its lifesaving search and rescue operations in the Mediterranean. Sinn Féin voted against Ireland joining Operation Sophia, an EU military mission to push vulnerable people and refugees back to war-torn Libya. In Government, we will remove Ireland from this counterproductive and dangerous EU military mission, which is leading to human rights violations. We will instead begin negotiations to restart an Irish naval mission which is purely focused on search and rescue.""",https://www.sinnfein.ie/files/2020/Giving_Workers_and_Families_a_Break_-_A_Manifesto_for_Change.pdf
IEP0027,SF,27,Completely disagree,-2,Other programmatic and official party documentation,"""Sinn Féin believes that the transition to ecological sustainability must be framed by principles of social justice and equality. We need a just transition to a carbon-free future. If the process is not fair, neither will the outcome, that is for certain. Fine Gael and Fianna Fail want to leave it to market forces. They want us to believe that structural change can be achieved through leaflets and ad campaigns. At the same time it is carving up the Irish Sea into speculative boxes for fossil-fuel extraction and agreeing to a beef deal with Brazil that has hastened the demise of the Amazon. Its flagship policy of electric cars for everyone has already been dismissed by the Department of Transport as pie-in-the-sky thinking, and its deep retrofit scheme is aimed only at a small section of Irish society.""",https://www.sinnfein.ie/files/2019/SF_Climate_Justice_Nov_2019.pdf
IEP0028,SF,28,No opinion,,,,
IEP0029,SF,29,No opinion,,,,
IEP0030,SF,30,Neutral,0,Other programmatic and official party documentation,"""Ireland’s place is in the European Union, but the European Union does need to change. The EU is far from perfect but the only way to address that and change it is from within. Our policy towards the European Union remains one of critical engagement.""",https://www.sinnfein.ie/files/2020/Giving_Workers_and_Families_a_Break_-_A_Manifesto_for_Change.pdf
IEP0031,SF,31,Completely disagree,-2,Other programmatic and official party documentation,"""We will seek to return powers to EU member states and increase the influence of member state parliaments in the EU legislative process. We support reforms of the EU which are aimed at reducing the power of the European Commission, making it more transparent and accountable to the European and member state parliaments, and increasing the influence of smaller member states.""",https://www.sinnfein.ie/files/2020/Giving_Workers_and_Families_a_Break_-_A_Manifesto_for_Change.pdf
IEP0032,SF,32,Tend to agree,1,"Recent interviews, press releases and social media communication (from party, party leader and/or leading candidates)","""I have no doubt that in the years and decades ahead that membership of the EU will offer the same opportunities to Ukraine and Moldova to experience similar growth""",https://vote.sinnfein.ie/eu-decision-to-grant-candidate-status-to-ukraine-and-moldova-welcome-john-brady-td/
IEP0033,SF,33,No opinion,,,,
IEP0034,SF,34,Completely agree,2,"Recent interviews, press releases and social media communication (from party, party leader and/or leading candidates)","""Sinn Féin supports a two-state solution, which is a view shared by the majority of representatives in the Dáil. However, there cannot be a two-state solution, if one of the states has been reduced to a series of Bantustans.""",https://vote.sinnfein.ie/irish-support-for-palestine-on-day-of-solidarity-john-brady-td/
IEP0035,SF,35,No opinion,,,,
IEP0036,SF,36,Tend to agree,1,Older national or European election manifestos,"""Ireland has a long and proud tradition of constructive neutrality. Unfortunately, this bedrock of Irish foreign policy has been undermined by successive Fine Gael and Fianna Fáil led Governments. Sinn Féin will ensure that our neutrality is restored and seek to have it enshrined in the Constitution, thus allowing our Defence Forces to continue its important role as peacekeepers across the globe. In recent years, due to Government cuts, there has been a decline in Defence Forces numbers, a marginalising of the Reserve Defence Forces and a declining morale among members, due in no small measures to the lack of appropriate pay and conditions.""",https://www.sinnfein.ie/files/2020/Giving_Workers_and_Families_a_Break_-_A_Manifesto_for_Change.pdf
IEP0037,SD,1,Completely agree,2,Other programmatic and official party documentation,"...the priority did not lie with those most in need: the most expensive measures in the Budget were permanent tax cuts for the better off, while others with less resources had to make do with one-off payments and inadequate increases in core social welfare payments. The Social Democrats have made a number of proposals that would help deal with the rising cost of living, including: Adequate increases to core social welfare rates, which would better reflect the increasing cost of living. Income tax changes that prioritise low-and-middle income earners",https://www.socialdemocrats.ie/wp-content/uploads/2023/11/Cutting-the-Cost-of-Living.pdf
